,on_trip_count,money_spent,taxi_free_rate,average_decline_rate,waiting_customers,highest_decline_rate,no_response_call,lowest_decline_rate,total_call,averange_speed,no_response_rate,finished_count,average_waiting_time
333,353.0,8649665242.33,"(3137.0, 0.78425)",0.0,"(510, 0)",0.0,295.0,0.0,1680.0,9.40680517626,0.175595238095,522.0,2855.25423729
334,354.0,8649665327.77,"(3133.0, 0.78325)",0.0,"(513, 0)",0.0,295.0,0.0,1685.0,9.35069764009,0.175074183976,523.0,2863.81690141
335,353.0,8649665406.1,"(3129.0, 0.78225)",0.0,"(518, 0)",0.0,295.0,0.0,1690.0,9.19022390993,0.174556213018,524.0,2859.83050847
336,353.0,8649665468.76,"(3127.0, 0.78175)",0.0,"(520, 0)",0.0,297.0,0.0,1695.0,9.18045869632,0.175221238938,525.0,2861.94915254
337,352.0,8649665549.86,"(3124.0, 0.781)",0.0,"(524, 0)",0.0,298.0,0.0,1700.0,8.85840053826,0.175294117647,526.0,2860.45325779
338,350.0,8649665638.79,"(3123.0, 0.78075)",0.0,"(527, 0)",0.0,299.0,0.0,1705.0,8.98541680078,0.175366568915,529.0,2858.71794872
339,356.0,8649665721.23,"(3120.0, 0.78)",0.0,"(524, 0)",0.0,300.0,0.0,1710.0,9.1444333454,0.175438596491,530.0,2897.5210084
340,358.0,8649665838.47,"(3116.0, 0.779)",0.0,"(526, 0)",0.0,301.0,0.0,1715.0,8.70658983245,0.175510204082,530.0,2909.79108635
341,360.0,8649665921.02,"(3113.0, 0.77825)",0.0,"(527, 0)",0.0,302.0,0.0,1720.0,9.07566559727,0.175581395349,531.0,2924.91689751
342,360.0,8649666025.62,"(3110.0, 0.7775)",0.0,"(530, 0)",0.0,303.0,0.0,1725.0,8.78314993829,0.175652173913,532.0,2926.45429363
343,361.0,8649666126.11,"(3106.0, 0.7765)",0.0,"(533, 0)",0.0,303.0,0.0,1730.0,8.816546064,0.175144508671,533.0,2934.82044199
344,362.0,8649666153.41,"(3105.0, 0.77625)",0.0,"(533, 0)",0.0,307.0,0.0,1735.0,9.05376813415,0.176945244957,533.0,2940.95041322
345,362.0,8649666264.81,"(3104.0, 0.776)",0.0,"(534, 0)",0.0,308.0,0.0,1740.0,8.86266744532,0.177011494253,536.0,2947.27272727
346,364.0,8649666314.07,"(3103.0, 0.77575)",0.0,"(533, 0)",0.0,310.0,0.0,1745.0,8.60772009669,0.177650429799,538.0,2964.57534247
347,361.0,8649666383.8,"(3103.0, 0.77575)",0.0,"(536, 0)",0.0,311.0,0.0,1750.0,8.76167732636,0.177714285714,542.0,2951.35359116
348,361.0,8649666480.3,"(3101.0, 0.77525)",0.0,"(538, 0)",0.0,312.0,0.0,1755.0,8.82164949456,0.177777777778,544.0,2958.52209945
349,361.0,8649666542.67,"(3098.0, 0.7745)",0.0,"(541, 0)",0.0,313.0,0.0,1760.0,8.8418363319,0.177840909091,545.0,2970.16574586
350,360.0,8649666593.84,"(3096.0, 0.774)",0.0,"(544, 0)",0.0,315.0,0.0,1765.0,8.79173492642,0.178470254958,546.0,2966.26038781
351,363.0,8649666677.55,"(3092.0, 0.773)",0.0,"(545, 0)",0.0,316.0,0.0,1770.0,8.89365295726,0.178531073446,546.0,2985.20604396
352,361.0,8649666769.75,"(3090.0, 0.7725)",0.0,"(549, 0)",0.0,317.0,0.0,1775.0,8.82630643696,0.178591549296,548.0,2975.13812155
353,361.0,8649666860.18,"(3087.0, 0.77175)",0.0,"(552, 0)",0.0,317.0,0.0,1780.0,8.6615780406,0.17808988764,550.0,2978.03867403
354,362.0,8649666944.08,"(3086.0, 0.7715)",0.0,"(552, 0)",0.0,318.0,0.0,1785.0,8.66569770069,0.178151260504,553.0,2989.54545455
355,360.0,8649667020.73,"(3084.0, 0.771)",0.0,"(556, 0)",0.0,319.0,0.0,1790.0,8.71813610254,0.178212290503,555.0,2981.63434903
356,363.0,8649667146.14,"(3080.0, 0.77)",0.0,"(557, 0)",0.0,319.0,0.0,1795.0,8.58654739545,0.177715877437,556.0,3004.40934066
357,362.0,8649667247.43,"(3078.0, 0.7695)",0.0,"(560, 0)",0.0,320.0,0.0,1800.0,8.69273464148,0.177777777778,558.0,3004.25619835
358,364.0,8649667306.99,"(3075.0, 0.76875)",0.0,"(561, 0)",0.0,321.0,0.0,1805.0,8.7758982735,0.17783933518,559.0,3018.8630137
359,360.0,8649667350.36,"(3077.0, 0.76925)",0.0,"(563, 0)",0.0,323.0,0.0,1810.0,8.85058158638,0.178453038674,564.0,3001.28808864
